Date,Price,AuthorScore,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,Role9,Role10,Role11,Role12,Role13,Role14,Role15,Role16,Predicted Revenue,Actual Revenue
30717135.6422,499.0,732.681818182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,303111.498292,17964.0
30717136.3317,499.0,711.415462375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300262.409875,485028.0
30803536.9639,499.0,697.716981132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,233982.843331,63373.0
30803537.5643,499.0,537.434635743,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,199136.413047,147704.0
30803538.3359,499.0,711.945026686,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,268184.142543,139221.0
30889939.2511,499.0,713.934125125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226928.092643,333332.0
30889939.9276,499.0,684.49165225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254958.637771,214071.0
30889940.5489,499.0,694.150099734,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,259702.953707,17964.0
21040341.2609,499.0,598.682364971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,183187.905864,357284.0
30889941.8902,499.0,906.384824188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,336742.160387,932132.0
29680343.0213,499.0,617.826086957,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,286374.253804,168163.0
30889943.6177,2495.0,551.528011649,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,761514.623868,980535.0
30889944.3813,499.0,807.722967136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,288278.598854,1306881.0
30976345.2574,499.0,848.13781412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,308390.557205,401196.0
30976346.0916,499.0,542.577777778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,210510.244512,218063.0
30976346.6715,499.0,576.702014982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170113.650846,76846.0
30976347.5021,499.0,893.807873495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390634.680444,382234.0
30976348.2799,499.0,805.86465059,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,384021.604547,204091.0
30976351.7808,499.0,772.012987013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,367393.381193,317863.0
31235552.8059,499.0,640.605731465,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,259441.940676,202594.0
31235553.7974,499.0,624.222666724,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,251394.438648,162175.0
31235554.5887,499.0,577.593066334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,228489.572576,160678.0
31235555.4087,499.0,808.904391765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,317110.626992,191616.0
31235558.1032,499.0,547.647347215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221377.113314,228542.0
31321959.3376,499.0,858.015166105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,314281.755875,415667.0
31321959.9889,499.0,315.21875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,144892.118868,571854.0
31321961.3116,499.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-50222.90479,174650.0
31321962.2144,499.0,803.240384615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,314588.26611,179141.0
31321964.1122,2495.0,724.141244939,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,879760.582972,1252490.0
31321964.705,499.0,294.301682692,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134617.486236,10978.0
31321965.2564,2495.0,742.551597052,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,861591.558359,1581830.0
31321965.9614,499.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-47176.98053,129241.0
30198767.1336,499.0,563.223363065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,218313.142745,610277.0
31408368.0033,499.0,704.913877401,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,335732.902229,274949.0
31408368.8074,499.0,310.536307958,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40669.9320584,158682.0
31408370.9923,499.0,610.908502501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,245374.113409,105289.0
31408371.6374,499.0,818.910544664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,322545.443036,259979.0
31408372.4272,499.0,487.278540689,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,176318.204633,180638.0
31408373.041,499.0,453.454259015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110872.495125,152694.0
21558774.3419,499.0,950.960167464,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,382790.020276,102295.0
31408375.036,499.0,654.559583246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199321.876502,21956.0
31408375.7188,499.0,654.559583246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199321.878556,24950.0
31494776.6106,499.0,616.29753781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,223280.001593,148203.0
31494777.2225,499.0,718.769980691,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,273615.365619,113772.0
31494777.8142,499.0,609.234352604,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,260535.558352,805885.0
31494778.2791,499.0,861.261583323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301115.549193,33433.0
31581181.5966,499.0,676.107421318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,252918.984255,155189.0
31581182.8452,499.0,793.806020642,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,283521.217317,488521.0
31581186.2279,499.0,636.54994824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,302671.652999,655187.0
31581186.9344,499.0,315.21875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145671.685738,135229.0
31581187.549,499.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-46397.4297725,350298.0
31926788.3184,499.0,682.423008401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,229848.236264,314370.0
31926789.3208,499.0,503.35212766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201697.63597,170658.0
31926790.0383,499.0,837.451277315,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,305999.486057,241017.0
31926791.1652,499.0,533.135767473,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,151571.776723,64371.0
32013192.2635,499.0,555.328042328,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,227683.729698,77345.0
32013192.7799,2495.0,810.456271402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,924237.995694,1791410.0
32013193.3749,499.0,595.263777925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247105.285055,588820.0
32013193.9973,499.0,765.389655172,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,338799.432126,325847.0
32013194.7779,499.0,599.317470922,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,257223.321831,297404.0
32013195.5264,499.0,617.826086957,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,293389.784239,129740.0
31321996.1392,499.0,694.547036142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,261197.242588,779438.0
32099597.0667,499.0,503.35212766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202217.316489,244510.0
32099597.6012,499.0,469.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,182492.572968,159181.0
32099598.1816,2495.0,551.528011649,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,765152.388532,1045405.0
32186000.3332,499.0,468.034324943,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120372.890901,49401.0
32186001.6481,499.0,713.005879583,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,342046.323324,149700.0
32186003.2221,2495.0,940.152260023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945972.546954,1674145.0
32445207.4077,499.0,700.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,297062.542881,535926.0
32531608.194,499.0,550.116117106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226487.37455,443112.0
32531608.9462,499.0,808.904391765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,321008.217182,437124.0
32531609.6433,499.0,808.904391765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,321008.219278,517463.0
32531610.3401,499.0,550.116117106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226487.381004,173153.0
32531610.8855,2495.0,137.660727322,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,563156.331901,718560.0
32531611.5139,499.0,467.43708783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185874.720614,304390.0
32618012.0819,499.0,772.182535965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260737.013908,237025.0
32618012.662,499.0,687.74487535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294351.66906,196606.0
32618014.2811,2495.0,789.751672673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,915886.580255,1614265.0
32618014.9017,499.0,772.182535965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260737.022388,290917.0
32704415.5964,499.0,105.847842365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-51031.9998325,190119.0
32704416.1185,2495.0,615.461311475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788040.517342,2969050.0
32099616.6948,499.0,615.070516304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,249497.297412,138722.0
32790817.3873,499.0,794.224660397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,344324.465379,322354.0
32790817.8849,499.0,629.952942877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266483.438175,265967.0
25446819.0569,499.0,744.452922078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,337226.80683,146207.0
33050020.6095,499.0,846.077945493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,410010.831716,496006.0
33050021.4027,499.0,821.946905748,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,398157.455854,478541.0
33136422.1047,499.0,607.876222826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256678.486908,285428.0
33136422.9611,499.0,509.529003783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133278.30095,259979.0
33136423.5171,499.0,499.351222826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,195772.929962,155189.0
33136424.3346,499.0,680.107920237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,259561.107941,207085.0
32531626.7249,2495.0,592.628795904,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,843799.402783,915665.0
33222828.4981,499.0,621.634161255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247771.432659,263971.0
33222829.105,499.0,168.927271132,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33725.6339098,97804.0
33309229.749,499.0,349.004777938,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70227.6612098,119760.0
33309230.7129,499.0,735.346344292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,287214.382446,321855.0
33309231.2433,2495.0,727.933650598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,956783.338186,2564860.0
33309232.0857,499.0,543.375327812,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262100.172861,286925.0
33309232.9314,2495.0,296.661688476,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,700756.241433,571355.0
33395633.542,499.0,832.647299078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,404452.93381,242514.0
33395634.1478,499.0,775.648648649,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,280058.712175,215568.0
33395634.8556,499.0,809.447059735,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,393056.776829,192614.0
33395635.3803,499.0,775.648648649,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,280058.715882,18962.0
33654836.1732,499.0,696.35668639,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,241889.297193,287424.0
33654836.9063,499.0,622.02186805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,249261.045984,1364266.0
33654837.553,499.0,620.672912034,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,248598.428909,492513.0
33654838.1181,499.0,669.701954887,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,281009.718378,97804.0
33654838.9144,499.0,619.734947183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,248137.696446,186626.0
33654839.5655,499.0,841.809065934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340549.145609,293911.0
33654840.2911,499.0,530.368357488,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,228291.793433,475547.0
33741241.0109,499.0,669.451379687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288743.600851,149700.0
995641.615375,499.0,637.071417683,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,166766.10746,464569.0
33914042.2625,499.0,610.004260395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,227464.087145,130239.0
33914042.8233,499.0,625.794827586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,275945.605478,560876.0
33914044.5932,499.0,596.81422127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,237658.337877,430637.0
33914045.5984,499.0,441.155008563,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,212323.781942,494509.0
33914046.1998,499.0,727.975378788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,315160.096141,158682.0
33914047.3463,499.0,608.927046753,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,226934.965651,89820.0
34000447.9441,499.0,722.482857143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,307975.504227,156187.0
34000449.2421,499.0,828.561942157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292588.441985,148702.0
34000449.7631,2495.0,766.80692027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,881560.926862,4970040.0
34000450.3162,499.0,830.026370899,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,308588.374914,262973.0
34000452.8799,499.0,455.076486529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,119464.445973,94311.0
34259653.5967,499.0,673.405074614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,276319.777938,209580.0
33914054.2299,499.0,494.209747024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203183.07175,234530.0
34259654.8029,499.0,695.422706767,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,287135.035479,244011.0
34259655.4422,499.0,689.883881579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,284414.317917,178642.0
34259656.0547,499.0,528.244237367,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,156184.581936,146207.0
34346057.0675,499.0,772.182535965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265933.721442,34431.0
34346057.9679,499.0,756.831428571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,317559.37605,271456.0
34346058.6523,499.0,664.176738722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287971.504313,169660.0
34346059.3317,499.0,636.338330835,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,309498.725123,327843.0
34346059.9439,499.0,848.750271781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378635.645552,469559.0
34518860.595,2495.0,828.561942157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898173.949725,1771450.0
34518861.2192,499.0,603.515066256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258693.624001,494509.0
34605261.8029,499.0,684.612872024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298789.40744,623750.0
